Name,locatcity,Main Category,Sub Category Of Just dial,Mobile no,City
ABC Plumbers,Mumbai,Construction,Plumbers,9876543210,Mumbai
XYZ Electricians,Delhi,Construction,Electricians,9876543211,Delhi
1,,,,,
Dr. Smith Clinic,Pune,Health,General Physicians,9876543212,Pune
City Dental Care,Pune,Health,Dentists,9876543213,Pune
2,,,,,
Rahul Tours,Mumbai,Travel,Travel Agents,9876543214,Mumbai
Blue Horizon Resorts,Goa,Travel,Resorts,9876543215,Goa
3,,,,,
TechFix Solutions,Bangalore,Technology,Computer Repairs,9876543216,Bangalore
Bright Academy,Chennai,Education,Tutorials & Coaching Classes,9876543217,Chennai
